BSSID,		SSID,		Channel,	RadioType,	Encryption,	Location
00:24:92:5e:86:30,	        ,	1,	OFDM24,		YES,	5320.6598N,  00615.9477W
00:24:92:db:52:b0,	        ,	1,	OFDM24,		YES,	5320.6731N,  00615.9428W
00:22:2d:03:ad:c4,	        ,	6,	Unknow,		None,	5320.7291N,  00615.9416W
00:02:6f:b1:39:0b,	        ,	6,	OFDM24,		None,	5320.6587N,  00615.9583W
40:4a:03:ca:51:bc,	        ,	6,	OFDM24,		YES,	5320.7428N,  00615.9429W
d4:ca:6d:11:82:8d,	        ,	6,	OFDM24,		YES,	5320.6587N,  00615.9583W
d6:ca:6d:11:82:8d,	        ,	6,	OFDM24,		YES,	5320.6873N,  00615.9552W
d6:ca:6d:11:81:7b,	        ,	3,	OFDM24,		YES,	5320.6406N,  00615.9564W
00:22:3f:9a:2e:a9,	        ,	2,	Unknow,		YES,	5320.7543N,  00615.9614W
02:24:92:db:52:b1,	        ,	1,	OFDM24,		YES,	5320.6598N,  00615.9477W
00:1b:2f:ae:fa:cf,	        ,	11,	OFDM24,		YES,	5320.6873N,  00615.9552W
f8:d1:11:21:94:ee,	        ,	11,	OFDM24,		YES,	5320.6873N,  00615.9552W
00:27:22:82:9a:c3,	        ,	11,	OFDM24,		None,	5320.7018N,  00615.9498W
ca:6c:87:80:0a:a4,	        ,	4,	Unknow,		None,	5320.6362N,  00615.9262W
e0:cb:4e:6d:18:80,	        ,	11,	OFDM24,		YES,	5320.6598N,  00615.9477W
e2:cb:4e:6d:18:81,	        ,	11,	OFDM24,		YES,	5320.6406N,  00615.9564W
30:39:26:0c:44:65,	        ,	6,	Unknow,		YES,	5320.7012N,  00615.9507W
4c:72:b9:45:86:44,	        ,	11,	Unknow,		YES,	5320.6406N,  00615.9564W
70:54:d2:94:10:a2,	        ,	11,	Unknow,		YES,	5320.6406N,  00615.9564W
d4:ca:6d:11:81:7b,	        ,	3,	OFDM24,		YES,	5320.6720N,  00615.9549W
20:aa:4b:22:4e:da,	        ,	11,	Unknow,		YES,	5320.7378N,  00615.9416W
dc:9f:db:00:3b:91,	        ,	3,	Unknow,		None,	5320.6406N,  00615.9564W
dc:9f:db:34:d3:a7,	        ,	3,	Unknow,		None,	5320.6427N,  00615.8477W
dc:9f:db:34:8e:dd,	        ,	3,	Unknow,		None,	5320.6598N,  00615.9477W
dc:9f:db:34:d2:de,	        ,	3,	Unknow,		None,	5320.6587N,  00615.9583W
00:24:92:42:56:30,	        ,	1,	OFDM24,		YES,	5320.7214N,  00615.9548W
d4:ca:6d:11:81:75,	        ,	6,	OFDM24,		YES,	5320.7018N,  00615.9498W
d6:ca:6d:11:81:75,	        ,	6,	OFDM24,		YES,	5320.6720N,  00615.9549W
c8:6c:87:a0:d0:d7,	        ,	1,	OFDM24,		None,	5320.7291N,  00615.9416W
cc:5d:4e:b0:84:a0,	        ,	11,	Unknow,		YES,	5320.6873N,  00615.9552W
30:46:9a:04:2d:e7,	        ,	1,	Unknow,		YES,	5320.7186N,  00615.9525W
4c:72:b9:5b:3c:7d,	        ,	6,	Unknow,		YES,	5320.7155N,  00615.9402W
00:27:22:9a:0f:91,	        ,	1,	Unknow,		None,	5320.7298N,  00615.7988W
00:27:22:82:9c:77,	        ,	6,	OFDM24,		None,	5320.7291N,  00615.9416W
70:71:bc:12:3c:d2,	        ,	1,	OFDM24,		YES,	5320.6998N,  00615.9426W
c8:6c:87:9b:e5:10,	        ,	8,	OFDM24,		YES,	5320.7543N,  00615.9614W
00:1f:c4:0a:21:70,	        ,	1,	OFDM24,		YES,	5320.7322N,  00615.9480W
74:44:01:7f:40:b5,	        ,	3,	Unknow,		YES,	5320.6720N,  00615.9549W
e8:40:f2:7e:74:0a,	        ,	1,	Unknow,		YES,	5320.7214N,  00615.9548W
30:46:9a:fc:73:36,	        ,	2,	OFDM24,		YES,	5320.6587N,  00615.9583W
36:46:9a:fc:73:36,	        ,	2,	OFDM24,		YES,	5320.7214N,  00615.9548W
50:67:f0:9e:83:08,	        ,	13,	OFDM24,		YES,	5320.6541N,  00615.9096W
cc:5d:4e:dc:c9:20,	        ,	11,	Unknow,		YES,	5320.6731N,  00615.9428W
80:c6:ab:3b:14:b8,	        ,	7,	Unknow,		YES,	5320.6406N,  00615.9564W
02:03:7e:b1:29:d2,	        ,	6,	Unknow,		YES,	5320.6406N,  00615.9564W
00:1e:e5:f5:10:e9,	        ,	1,	Unknow,		YES,	5320.6541N,  00615.9096W
00:25:68:cb:07:0f,	        ,	6,	Unknow,		YES,	5320.6525N,  00615.9376W
80:c6:ab:48:64:38,	        ,	6,	Unknow,		YES,	
02:0c:42:65:ba:1f,	        ,	10,	OFDM24,		YES,	5320.6426N,  00615.8658W
b0:b2:dc:77:30:0c,	        ,	9,	Unknow,		YES,	5320.6598N,  00615.9477W
4c:72:b9:84:71:90,	        ,	11,	Unknow,		YES,	5320.6720N,  00615.9549W
c8:6c:87:a0:c1:03,	        ,	4,	OFDM24,		YES,	5320.6598N,  00615.9019W
50:67:f0:9e:8e:c7,	        ,	4,	OFDM24,		YES,	5320.6427N,  00615.8477W
fc:f5:28:bf:97:c0,	        ,	1,	Unknow,		YES,	5320.6598N,  00615.9019W
cc:5d:4e:dc:c7:ec,	        ,	9,	Unknow,		YES,	5320.6541N,  00615.9096W
00:1d:e5:8d:04:60,	        ,	1,	OFDM24,		YES,	5320.6598N,  00615.9019W
b8:c7:5d:03:51:db,	        ,	5,	Unknow,		YES,	5320.6220N,  00615.9224W
50:67:f0:88:8e:8f,	        ,	11,	OFDM24,		YES,	5320.6388N,  00615.9150W
d4:ca:6d:11:81:9d,	        ,	1,	OFDM24,		None,	5320.6437N,  00615.8806W
40:4a:03:cd:69:15,	        ,	9,	OFDM24,		YES,	5320.6598N,  00615.9019W
00:06:b1:2d:3a:bf,	        ,	2,	OFDM24,		YES,	5320.6424N,  00615.8745W
d4:ca:6d:11:81:78,	        ,	10,	Unknow,		None,	5320.6480N,  00615.8517W
02:23:54:ab:a8:9b,	        ,	11,	OFDM24,		None,	5320.6220N,  00615.9224W
